x,y,magnitude
5,54,1.75E-11
5,55,3.93E-10
5,56,7.85E-11
5,57,9.64E-11
5,58,2.39E-11
5,59,2.87E-10
5,60,3.75E-10
5,61,4.52E-11
5,62,1.05E-10
5,63,1.83E-10
5,64,7.43E-11
5,65,1.41E-10
5,66,1.16E-10
5,67,6.28E-11
5,68,1.31E-10
5,69,8.28E-11
5,70,6.84E-11
5,71,4.42E-11
5,72,2.40E-10
5,73,2.07E-10
5,74,5.97E-11
5,75,1.92E-10
5,76,1.61E-10
5,77,6.75E-11
5,78,7.87E-11
5,79,4.08E-10
5,80,6.11E-10
5,81,1.16E-10
5,82,1.48E-10
5,83,2.40E-10
5,84,1.86E-10
5,85,6.63E-11
5,86,3.01E-10
5,87,3.68E-10
5,88,2.36E-10
5,89,3.07E-11
5,90,4.67E-10
5,91,1.31E-10
5,92,9.73E-11
5,93,4.69E-10
5,94,2.33E-10
5,95,5.48E-10
5,96,9.32E-10
5,97,3.52E-10
5,98,2.71E-10
5,99,2.33E-10
5,100,4.76E-10
5,101,2.63E-10
5,102,2.07E-10
5,103,3.76E-10
5,104,1.74E-10
5,105,1.28E-10
5,106,2.34E-10
5,107,1.17E-10
5,108,1.25E-10
5,109,1.27E-10
5,110,1.84E-10
5,111,2.12E-10
5,112,2.06E-10
5,113,2.74E-10
5,114,3.04E-10
5,115,2.35E-10
5,116,1.50E-10
5,117,2.17E-10
5,118,2.55E-10
5,119,2.33E-10
5,120,2.15E-10
5,121,1.53E-10
5,122,2.22E-10
5,123,1.94E-10
5,124,5.91E-11
5,125,2.55E-10
5,126,3.14E-10
5,127,1.68E-10
6,0,3.84E-11
6,1,2.22E-10
6,2,1.02E-10
6,3,3.05E-10
6,4,2.53E-10
6,5,8.40E-11
6,6,4.43E-10
6,7,3.86E-10
6,8,1.82E-10
6,9,3.25E-10
6,10,1.31E-10
6,11,2.72E-10
6,12,2.42E-10
6,13,3.87E-10
6,14,5.75E-11
6,15,2.39E-10
6,16,9.58E-10
6,17,4.71E-10
6,18,1.64E-10
6,19,2.36E-10
6,20,1.60E-10
6,21,2.35E-10
6,22,2.92E-10
6,23,1.22E-10
6,24,2.47E-10
6,25,2.67E-10
6,26,5.95E-10
6,27,3.56E-10
6,28,1.59E-10
6,29,3.01E-10
6,30,4.69E-10
6,31,2.75E-10
6,32,3.32E-10
6,33,4.76E-10
6,34,2.41E-10
6,35,3.69E-10
6,36,3.56E-10
6,37,2.73E-10
6,38,2.63E-10
6,39,1.84E-10
6,40,6.62E-11
6,41,2.31E-10
6,42,3.79E-10
6,43,1.67E-10
6,44,8.97E-11
6,45,2.77E-10
6,46,2.91E-10
6,47,1.30E-10
6,48,1.13E-10
6,49,2.46E-10
6,50,7.32E-11
6,51,2.57E-10
6,52,2.78E-10
6,53,2.07E-10
6,54,6.82E-11
6,55,3.15E-10
6,56,6.58E-11
6,57,1.20E-10
6,58,4.37E-11
6,59,2.49E-10
6,60,3.22E-10
6,61,6.99E-11
6,62,1.68E-10
6,63,1.95E-10
6,64,1.96E-11
6,65,1.67E-10
6,66,1.28E-10
6,67,8.55E-11
6,68,1.48E-10
6,69,8.14E-11
6,70,8.34E-11
6,71,3.14E-11
6,72,2.56E-10
6,73,1.78E-10
6,74,8.28E-11
6,75,1.61E-10
6,76,1.77E-10
6,77,1.27E-10
6,78,9.67E-11
6,79,4.66E-10
6,80,4.95E-10
6,81,2.39E-10
6,82,1.09E-10
6,83,9.52E-11
6,84,3.42E-10
6,85,6.31E-11
6,86,4.32E-10
6,87,4.69E-10
6,88,8.83E-11
6,89,2.33E-10
6,90,7.02E-10
6,91,2.33E-10
6,92,1.20E-10
6,93,2.10E-10
6,94,2.52E-10
6,95,4.66E-10
6,96,3.91E-10
6,97,1.45E-10
6,98,7.10E-10
6,99,2.50E-10
6,100,2.49E-10
6,101,2.41E-10
6,102,2.42E-10
6,103,2.48E-10
6,104,1.68E-10
6,105,2.41E-10
6,106,4.56E-11
6,107,4.69E-10
6,108,1.18E-10
6,109,5.46E-11
6,110,8.38E-11
6,111,3.53E-10
6,112,3.54E-10
6,113,1.85E-10
6,114,3.81E-10
6,115,2.78E-10
6,116,1.66E-10
6,117,2.07E-10
6,118,3.26E-10
6,119,2.99E-10
6,120,2.97E-10
6,121,2.26E-10
6,122,2.88E-10
6,123,1.73E-10
6,124,1.29E-10
6,125,3.02E-10
6,126,3.65E-10
6,127,9.35E-11
7,0,7.78E-11
7,1,2.93E-10
7,2,1.26E-10
7,3,3.89E-10
7,4,2.94E-10
7,5,7.63E-11
7,6,3.24E-10
7,7,3.84E-10
7,8,3.99E-10
7,9,3.31E-10
7,10,1.76E-11
7,11,2.33E-10
7,12,2.78E-10
7,13,4.87E-10
7,14,7.70E-11
7,15,4.73E-10
7,16,1.75E-10
7,17,2.52E-10
7,18,4.95E-10
7,19,4.22E-10
7,20,2.35E-10
7,21,3.46E-12
7,22,2.18E-10
7,23,2.54E-10
7,24,2.87E-10
7,25,4.66E-10
7,26,4.96E-10
7,27,5.48E-10
7,28,5.35E-10
7,29,3.67E-10
7,30,5.77E-10
7,31,6.11E-10
7,32,3.68E-10
7,33,2.64E-10
7,34,2.46E-10
7,35,1.90E-10
7,36,3.55E-10
7,37,1.54E-10
7,38,6.10E-11
7,39,1.98E-10
7,40,2.08E-10
7,41,2.39E-10
7,42,3.00E-10
7,43,2.31E-10
7,44,1.03E-10
7,45,2.40E-10
7,46,2.86E-10
7,47,1.07E-10
7,48,1.11E-10
7,49,2.01E-10
7,50,7.94E-11
7,51,2.41E-10
7,52,2.86E-10
7,53,2.24E-10
7,54,7.01E-11
7,55,3.23E-10
7,56,2.66E-11
7,57,8.91E-11
7,58,6.57E-11
7,59,2.98E-10
7,60,3.50E-10
7,61,1.24E-10
7,62,2.04E-10
7,63,2.59E-10
7,64,7.66E-11
7,65,1.96E-10
7,66,1.71E-10
7,67,1.27E-10
7,68,1.70E-10
7,69,1.40E-10
7,70,1.38E-10
